Id,Strength,Ties,LasVegasMeeting
Majed Moqed,1, AA #77 Pentagon,0
Khalid Al-Mihdhar,1, AA #77 Pentagon,0
Hani Hanjour,1, AA #77 Pentagon,1
Nawaf Alhazmi,1, AA #77 Pentagon,1
Salem Alhazmi*,1, AA #77 Pentagon,1
Ahmed Alnami,1,UA #93 Pennsylvania,0
Ahmed Alghamdi,1,UA #175 WTC South,0
Saeed Alghamdi*,1,UA #93 Pennsylvania,0
Hamza Alghamdi,1,UA #175 WTC South,0
Ahmed Al Haznawi,1,UA #93 Pennsylvania,0
Mohand Alshehri*,1,UA #175 WTC South,0
Fayez Ahmed,1,UA #175 WTC South,0
Ziad Jarrah,1,UA #93 Pennsylvania,1
Marwan Al-Shehhi,1,UA #175 WTC South,1
Mohamed Atta,1, AA #11 WTC North,1
Abdul Aziz Al-Omari*,1, AA #11 WTC North,0
Waleed Alshehri,1, AA #11 WTC North,0
Wail Alshehri,1, AA #11 WTC North,0
Satam Suqami,1, AA #11 WTC North,0
Raed Hijazi,2,Other Associates,0
Nabil al-Marabh,2,Other Associates,0
Mustafa Ahamend al-Hisawi,2,Other Associates,0
Mamoun Darkazanli,2,Other Associates,0
Zakariya Essabar,2,Other Associates,0
Said Bahaji,2,Other Associates,0
Mounir El Motassadeq,2,Other Associates,0
Zacarias Moussaoui,2,Other Associates,0
Ramzi Bin al-Shibh,2,Other Associates,0
Agus Budiman,2,Other Associates,0
Ahed Khalil Ibrahim Samir Al-Ani,2,Other Associates,0
Lofti Raissi,2,Other Associates,0
Rayed Mohammed Abdullah,2,Other Associates,0
Bandar Alhazmi,2,Other Associates,0
Faisal Al Salmi,2,Other Associates,0
Osama Awadallah,2,Other Associates,0
Abdussattar Shaikh,2,Other Associates,0
Mohamed Abdi,2,Other Associates,0
Mohamed Belfas,2,Other Associates,0
Imad Eddin Baraat Yarkas,2,Other Associates,0
Tarek Maaroufi,2,Other Associates,0
Abu Qatada,2,Other Associates,0
Djamal Benghal,2,Other Associates,0
Jerome Courtaillier,2,Other Associates,0
David Courtaillier,2,Other Associates,0
Ahmen Ressam,2,Other Associates,0
Abu Walid,2,Other Associates,0
Jean-Marc Grandvisir,2,Other Associates,0
Abu Zubeida,2,Other Associates,0
Nizar Trabelsi,2,Other Associates,0
Haydar Abu Doha,2,Other Associates,0
Mehdi Khammoun,2,Other Associates,0
Mohammed Bensakhria,2,Other Associates,0
Lased Ben Heni,2,Other Associates,0
Essid Sami Ben Khemail,2,Other Associates,0
Seifallah ben Hassine,2,Other Associates,0
Essoussi Laaroussi,2,Other Associates,0
Takek Maaroufi,2,Other Associates,0
Fahid al Shakri,2,Other Associates,0
Madjid Sahoune,2,Other Associates,0
Samir Kishk,2,Other Associates,0
Kamel Daoudi,2,Other Associates,0
